# Frequency, Fit
3.33846e+01, 2.84704e-02
3.34615e+01, 2.07778e-02
3.35385e+01, 5.98487e-03
3.36154e+01, 8.77739e-03
3.36923e+01, 1.42182e-02
3.37692e+01, 2.41046e-02
3.38462e+01, 2.37195e-02
3.39231e+01, 4.94556e-03
3.40000e+01, 1.33287e-02
3.40769e+01, 2.51706e-02
3.41538e+01, 1.23181e-02
3.42308e+01, 4.53024e-03
3.43077e+01, 2.19365e-02
3.43846e+01, 8.33396e-03
3.44615e+01, 4.16222e-03
3.45385e+01, 1.19187e-02
3.46154e+01, 1.94429e-02
3.46923e+01, 2.26985e-02
3.47692e+01, 4.47745e-03
3.48462e+01, 8.83672e-03
3.49231e+01, 1.69985e-02
3.50000e+01, 8.02554e-03
3.50769e+01, 1.62225e-02
3.51538e+01, 9.77218e-03
3.52308e+01, 1.37322e-02
3.53077e+01, 1.03838e-02
3.53846e+01, 1.44931e-02
3.54615e+01, 1.20401e-02
3.55385e+01, 6.85715e-03
3.56154e+01, 3.04636e-02
3.56923e+01, 1.03817e-02
3.57692e+01, 1.44655e-02
3.58462e+01, 6.30917e-03
3.59231e+01, 1.95871e-03
3.60000e+01, 6.22601e-03
3.60769e+01, 1.47404e-02
3.61538e+01, 1.92161e-02
3.62308e+01, 1.02516e-02
3.63077e+01, 2.14236e-02
3.63846e+01, 1.33315e-02
3.64615e+01, 4.48088e-02
3.65385e+01, 1.79983e-02
3.66154e+01, 8.62512e-02
3.66923e+01, 3.64085e-02
3.67692e+01, 2.87172e-02
3.68462e+01, 1.24684e-02
3.69231e+01, 3.37475e-02
3.70000e+01, 2.14147e-02
3.70769e+01, 4.64089e-02
3.71538e+01, 2.89200e-02
3.72308e+01, 1.24664e-02
3.73077e+01, 1.54140e-02
3.73846e+01, 1.14216e-02
3.74615e+01, 7.90102e-03
3.75385e+01, 1.53835e-02
3.76154e+01, 1.79061e-02
3.76923e+01, 8.84824e-03
3.77692e+01, 1.45136e-02
3.78462e+01, 8.18982e-03
3.79231e+01, 1.11122e-02
3.80000e+01, 1.64003e-02
