# Frequency, Fit
2.48462e+01, 4.20824e-02
2.49231e+01, 4.18559e-02
2.50000e+01, 4.16307e-02
2.50769e+01, 4.14066e-02
2.51538e+01, 4.11837e-02
2.52308e+01, 4.09620e-02
2.53077e+01, 4.07415e-02
2.53846e+01, 4.05221e-02
2.54615e+01, 4.03039e-02
2.55385e+01, 4.00868e-02
2.56154e+01, 3.98709e-02
2.56923e+01, 3.96561e-02
2.57692e+01, 3.94425e-02
2.58462e+01, 3.92300e-02
2.59231e+01, 3.90186e-02
2.60000e+01, 3.88083e-02
2.60769e+01, 3.85992e-02
2.61538e+01, 3.83911e-02
2.62308e+01, 3.81842e-02
2.63077e+01, 3.79783e-02
2.63846e+01, 3.77736e-02
2.64615e+01, 3.75699e-02
2.65385e+01, 3.73673e-02
2.66154e+01, 3.71658e-02
2.66923e+01, 3.69653e-02
2.67692e+01, 3.67660e-02
2.68462e+01, 3.65676e-02
2.69231e+01, 3.63704e-02
2.70000e+01, 3.61741e-02
2.70769e+01, 3.59790e-02
2.71538e+01, 3.57848e-02
2.72308e+01, 3.55917e-02
2.73077e+01, 3.53996e-02
2.73846e+01, 3.52086e-02
2.74615e+01, 3.50185e-02
2.75385e+01, 3.48295e-02
2.76154e+01, 3.46415e-02
2.76923e+01, 3.44544e-02
2.77692e+01, 3.42684e-02
2.78462e+01, 3.40834e-02
2.79231e+01, 3.38993e-02
2.80000e+01, 3.37162e-02
2.80769e+01, 3.35341e-02
2.81538e+01, 3.33530e-02
2.82308e+01, 3.31728e-02
2.83077e+01, 3.29936e-02
2.83846e+01, 3.28154e-02
2.84615e+01, 3.26381e-02
2.85385e+01, 3.24618e-02
2.86154e+01, 3.22864e-02
2.86923e+01, 3.21119e-02
2.87692e+01, 3.19384e-02
2.88462e+01, 3.17657e-02
2.89231e+01, 3.15941e-02
2.90000e+01, 3.14233e-02
2.90769e+01, 3.12534e-02
2.91538e+01, 3.10845e-02
2.92308e+01, 3.09164e-02
